ISO3,L,M,H,cumscc,cumpop,id
AFG,0.193345940627997,0.437317676228458,0.531386835062527,0.00621844038964136,0.0383590909012762,1
AFG,0.662357518633684,1.16703734517759,1.46957860342873,0.124100400558712,0.315012814312355,2
AGO,0.174957642996537,0.415314979272952,0.527692878414083,0.0264284223921585,0.105704356046254,3
AGO,0.501566572383927,0.917189385716236,1.12178605542274,0.244023337837217,0.480996412468639,4
ALB,0.0269020858130859,0.0593802813806442,0.0821246333969187,0.0339131197295937,0.125474461503304,5
ALB,0.0694607730834262,0.125403330649544,0.158807299115025,0.256306805944272,0.495651108442317,6
ARE,0.338976586746321,1.41367073769487,1.89076281678577,0.881193912299718,0.967783632461796,7
ARE,0.748175590460073,2.60091131948096,3.20661281309455,0.995475478607064,0.999424185809447,8
ARG,0.681078501527113,1.72048621181687,2.48007295655777,0.284711736467933,0.528155316951063,9
ARG,1.87160415252023,3.96043100430425,5.13735717119775,0.818616590541595,0.940837803034782,10
ARM,0.00817010925736556,0.0443497124163868,0.0639022300270893,0.0205881579916806,0.0891002367662254,11
ARM,0.0262671116675836,0.0950227096704179,0.120057160166151,0.154600712259328,0.360422521185373,12
AUS,0.686434186184601,1.66074124965698,2.35124761448428,0.50252974214017,0.742782187636341,13
AUS,1.65878844565758,3.54444736823669,4.60081009866202,0.889354623635751,0.970496730330239,14
AUT,0.03909185076818,0.456484601356994,0.724251571854747,0.473973211382076,0.721685884498339,15
AUT,0.119934847107948,0.881301215552879,1.29217183732614,0.851003988609187,0.956060444355573,16
AZE,0.072945455106884,0.170587077833082,0.237512331934669,0.0293940174117302,0.11362854588931,17
AZE,0.187293311430709,0.349344020123657,0.434437031211347,0.236995684374197,0.47213391263891,18
BDI,0.0242447615471554,0.0491719199527321,0.0601520300314449,0.00019419727446431,0.00352861422261051,19
BDI,0.0771904332587748,0.125225527593146,0.150744514071821,0.0108132393463332,0.0567463297796578,20
BEL,0.144091953688293,0.553061154032523,0.859978506906212,0.43366006285555,0.686882915709346,21
BEL,0.354863396044732,1.12833744750258,1.61988321807736,0.849701277730608,0.955485423661837,22
BEN,0.0338103082022976,0.101288931486705,0.126326843144578,0.00478892742678928,0.0321326536239595,23
BEN,0.111536345231109,0.249651864002304,0.309498081817838,0.0964876956404245,0.266961159785528,24
BFA,0.0675942080871358,0.233027777409958,0.283742360292167,0.00656289449373856,0.0397852030564968,25
BFA,0.203686633000347,0.540638911006173,0.690135463442585,0.104467174257661,0.282406443088358,26
BGD,0.709159643286031,1.87082453742996,2.47652796532926,0.0106281350321753,0.0560260991683228,27
BGD,2.17164983784445,4.49282963733674,5.60140430237538,0.120724453856647,0.309698237127795,28
BGR,0.0687271601090832,0.217738734441566,0.313749320836971,0.152433022846382,0.357317832637503,29
BGR,0.188894510599156,0.45123998694705,0.590267084476203,0.500074888278343,0.741063804153348,30
BHS,0.00519184252926669,0.0195819492127147,0.0274521543011954,0.438788408329469,0.69150404280016,31
BHS,0.0132024339949224,0.0408561851363469,0.0527752901153244,0.858763701292595,0.959453965745007,32
BIH,0.0186673903131909,0.072708381852347,0.108387037535898,0.0782026301903725,0.227391787863387,33
BIH,0.050457550283484,0.150605381800654,0.204673255623291,0.293516922934946,0.538082491135649,34
BLR,-0.00732906184093541,0.303670046134663,0.475786429763551,0.158589387762758,0.365941291550965,35
BLR,0.014991235951254,0.618699845377009,0.892616352986432,0.652205796655885,0.846944118118878,36
BLZ,0.00252737109078254,0.00834487215705516,0.0106619699758673,0.100454749931282,0.27493719142066,37
BLZ,0.00727442687702961,0.0181813273727346,0.0231147185483754,0.438731945639989,0.691454052500659,38
BOL,0.157834928125974,0.299145396411607,0.367242321514969,0.105850558725579,0.284771261978661,39
BOL,0.463987737137035,0.703864226048501,0.844579615609891,0.490514444817836,0.734293094183973,40
BRA,2.08011064027855,5.56955801487551,7.71971786555233,0.114083298777235,0.298706586962556,41
BRA,4.78591401575542,11.0443252242721,14.1386500586548,0.47329845064693,0.721110863804603,42
BRN,0.0113312211783359,0.0484952799588387,0.0670049539026637,0.858703309004583,0.959428375472643,43
BRN,0.0277652418050068,0.100998892983251,0.127437509488918,0.991630895835234,0.998693970363158,44
BTN,0.0211721701685158,0.044990158201154,0.0580247748974407,0.441468734054477,0.69384948714317,45
BTN,0.0609198182841294,0.105391996997709,0.127238294382357,0.872953879436221,0.964874937627844,46
BWA,0.0382808262544578,0.0924987370851598,0.124569421120991,0.380977710005697,0.633540422777749,47
BWA,0.0934147116830342,0.18013043288401,0.225464008202082,0.710326252196192,0.883268947679068,48
CAF,0.00842729826468438,0.0238596785868061,0.0302599297759587,0.000229465877645496,0.00387636420287227,49
CAF,0.0278794754614556,0.055807510050808,0.0705645236151702,0.00557201158168797,0.0356742944193237,50
CAN,-0.254538155199423,2.62721788930659,3.95594005288787,0.674141188869395,0.861362153666742,51
CAN,-0.35088645196239,5.40271295184549,7.07611569518637,0.897340738725577,0.972993864814857,52
CHE,0.018721123833041,0.474510235577108,0.748514521601014,0.481100978678596,0.727328638741662,53
CHE,0.0994624254957466,0.95864086772967,1.37944000162555,0.870986707522907,0.964143928684738,54
CHL,0.14316505266717,0.608924930417237,0.947409665722282,0.159489480849087,0.367169029501815,55
CHL,0.414013760832813,1.47213282172513,2.00455450525094,0.709417738540163,0.882758530851223,56
CHN,19.457565456387,45.4138729449606,63.1888253841591,0.22661879518538,0.458370181341795,57
CHN,45.446641116632,88.5029498745727,113.4104895386,0.640250786240759,0.83880026190685,58
CIV,0.13126561111125,0.424502412305837,0.542590953510114,0.0345406054299816,0.127005381363167,59
CIV,0.420753766434763,1.0041717793633,1.30342729467729,0.408952808861425,0.662851269469271,60
CMR,0.111026169242565,0.321911088656105,0.406910452625725,0.0140925607214528,0.0681985387227108,61
CMR,0.374196181165169,0.753762227444739,0.939314822395682,0.155750741684434,0.362037816206829,62
COD,0.247446788231209,0.544839262911101,0.673961578663739,0.00170761463074335,0.0146687144174537,63
COD,0.826610246665937,1.44572196270842,1.81805493490821,0.031531036736093,0.119300130517002,64
COG,0.0471962855124658,0.140740961875113,0.178467340428533,0.121117698710407,0.310333100706516,65
COG,0.147052525111682,0.32262550915633,0.396739689879119,0.499407879962149,0.74059643452785,66
COL,0.649313023238333,1.51584436890785,2.01097931548241,0.126341072550036,0.318466707584653,67
COL,1.81055273662453,3.39215684679379,4.13880435268129,0.645383443318472,0.842336678848165,68
COM,0.00189793617590505,0.00598329549876662,0.00752207199150478,0.00171645894412729,0.0147282928034996,69
