ISO3,L,M,H,cumscc,cumpop,id
AFG,0.0280307592579025,0.561449640273976,28.0812922232819,0.0948127367963912,0.47630400291372,1
AGO,-0.638588211360416,0.761803393534479,5.83944253273244,0.24936931625881,0.75215378179922,2
ALB,-0.0313914923698019,0.0546396940346967,0.278090599561436,0.0994413778741668,0.488329050434261,3
ARE,-3.04493475966768,4.10114989698596,45.4319579780131,0.985489500446164,0.999108770824497,4
ARG,-0.99631023492083,1.50801712062981,7.99342216921038,0.271527820496428,0.778892244057932,5
ARM,-0.0181059338131124,0.0319226347353071,0.145749999198889,0.0910424346422285,0.464215475647781,6
AUS,-2.4411634418065,4.49140463462314,22.6868257962899,0.569788041541003,0.939565298638479,7
AUT,-0.662456404102596,1.32789896974509,5.87300755998965,0.550660499621214,0.935057178719421,8
AZE,-0.137868020374259,0.276460550602174,1.32677196968236,0.226087815930403,0.720577766192724,9
BDI,0.00681068547611124,0.0325997220353608,0.0866330052310958,0.000887571552137741,0.01834207568452,10
BEL,-0.654747417291569,1.35319104244519,5.73361046615482,0.534762792208916,0.93024078528677,11
BEN,-0.0132898234799236,0.0666047239322095,0.293392297474463,0.0112273532142698,0.115135197971505,12
BFA,-0.0376038344324335,0.173761729896059,1.08764022891904,0.0190783182656237,0.160155562406078,13
BGD,-0.573229247346017,0.560839529545031,2.90575073327323,0.00366025769468052,0.052070451408437,14
BGR,-0.108849419046047,0.218354834900198,1.01107740393392,0.251958516469166,0.755543996951914,15
BHS,-0.0357543247466441,0.0359359269895485,0.259283414991275,0.434192143979185,0.892643451330278,16
BIH,-0.0315797536981494,0.0616207032883192,0.270828330378619,0.0983671384750827,0.485734580340032,17
BLR,-0.220565074304821,0.334266506284215,1.69675658579526,0.27887507767274,0.787365070825542,18
BLZ,-0.0061646960622511,0.00566560762025827,0.0500350291040998,0.0969122382877408,0.482045481386086,19
BOL,-0.0898305547856572,0.130757673135458,0.856642268488818,0.0925251749920484,0.469526746595601,20
BRA,-5.36588267796161,6.23404889473305,41.5532124003641,0.246863380268698,0.748815937436479,21
BRN,-0.0890709192584855,0.088900867715846,0.723972741101294,0.573487111218015,0.940369772161936,22
BTN,-0.0126769016158433,0.021196785691436,0.119582891564605,0.219371319628333,0.710282409484826,23
BWA,-0.116407438018981,0.177374210354544,1.55855347666634,0.39859734785083,0.876450958524318,24
CAF,0.00263881027877918,0.0213998692660441,0.0635138078621944,0.0046896643916882,0.0631294165536926,25
CAN,-5.01440855855466,9.72824104316698,52.8647800303964,0.643874635497887,0.952527862648875,26
CHE,-0.711286566594995,1.32335935055709,6.08779550074805,0.555013661936527,0.936128531672492,27
CHL,-0.321753138441602,0.568760843462218,2.24875034809418,0.251240242904051,0.75460925770092,28
CHN,-17.2058254869977,30.3132622811051,162.46313010086,0.211310450047433,0.696440122002781,29
CIV,-0.0970040227520339,0.0808890225670324,0.700518559886249,0.00394692198609112,0.0553717949175735,30
CMR,-0.134240605599383,0.126893425684102,1.01133184637586,0.0101157397515604,0.107026586243119,31
COD,0.0278892525495322,0.165716152120748,0.445145587359415,0.000632236202166953,0.0145581538608844,32
COG,-0.087098357699457,0.0858455802901095,0.819617229563828,0.0997237650767795,0.489000480991321,33
COL,-1.105487011705,1.37826689634245,8.94726790245583,0.225178404854685,0.719237814566935,34
COM,3.1975515295673e-05,0.00198179829617912,0.00541768558346458,0.000638755285328943,0.0146773106329764,35
CPV,-0.00257683269450188,0.00280355858460778,0.0145248876785011,0.00969832653834925,0.103898357289664,36
CRI,-0.158298048867692,0.179292409662384,1.16401233707405,0.257340773665125,0.762240845592529,37
CUB,-0.121853848355955,0.101023494172971,0.686568271932973,0.0370007339273176,0.245774794758742,38
CYP,-0.0474833498210796,0.0709095746796084,0.405446915335687,0.348635128717933,0.848185279390891,39
CZE,-0.53288332205599,0.962582065927007,4.64994410872386,0.41918674031076,0.886062056476607,40
DEU,-4.57471468298561,9.12154622569565,38.6202215583226,0.504583903836022,0.919624855864609,41
DJI,-0.00841163336788824,0.00701750245309125,0.0748868197086109,0.0130860619017075,0.127238537178037,42
DNK,-0.415396621323155,0.754085071606473,3.31368233639616,0.544239450216023,0.933340580604266,43
DOM,-0.276288909633513,0.262953290195128,2.15231831878411,0.216071363789269,0.704807678192605,44
DZA,-0.591172214771602,0.981988278345586,5.86949596899564,0.219301593254586,0.710167484695761,45
ECU,-0.207834731452325,0.271928591396332,1.55031264528126,0.0992616417678009,0.487896462419263,46
EGY,-1.42368317463835,1.72433423350265,13.5737495387084,0.105395925704298,0.501531118234068,47
ERI,0.00514250539521398,0.025329538911362,0.128099711358118,0.00421819861491086,0.0583575911922911,48
ESP,-2.47289463964069,4.64536994477479,24.2169166377212,0.449472989182545,0.899093125712246,49
EST,-0.0652786747978569,0.0996973123954106,0.569966286128163,0.365388960410692,0.858906479390838,50
ETH,0.0482248262394041,0.51109419375296,1.5889436308383,0.00722089275416958,0.0843315192673591,51
FIN,-0.785188113963949,1.03561462030451,6.89184808993832,0.57319467371268,0.940308143909112,52
FJI,-0.00479286372460635,0.00402348690807326,0.0215742162178627,0.00485027772164532,0.0646677423838522,53
FRA,-3.67040788991612,7.82117720410538,35.2627384567744,0.530311499180374,0.928750333764599,54
GAB,-0.0826273397621878,0.0858682162774928,0.709692270282659,0.319078787753225,0.825945150590487,55
GBR,-3.7214887910657,6.89057451726194,28.618893950798,0.473860263197022,0.908515371421974,56
GEO,-0.0218759495696504,0.0404129565211007,0.177032485801512,0.0446890048553311,0.277924640813747,57
GHA,-0.175894777942195,0.156227098577516,1.42958455234636,0.00968910429227213,0.103827868322377,58
GIN,-0.032872214137165,0.0354446069383185,0.278305983359445,0.00100416582952734,0.0198997099372384,59
GMB,-0.0103395275379971,0.00866764798111404,0.0685366996149502,0.00461926997886122,0.062433916593169,60
GNB,-0.000750946290292794,0.0062567907591953,0.0252551010844909,0.00368083927423127,0.0523099551978472,61
GNQ,-0.114971843678355,0.133525609670271,1.06943285193797,0.546292404325553,0.933907137331949,62
GRC,-0.410647686228659,0.761434605540055,4.27317485026125,0.362237228598376,0.8571028611247,63
GTM,-0.166839875046786,0.176085530475865,1.40698505365476,0.0909374258171677,0.463813701759196,64
GUY,-0.00614764197923847,0.00511845808202762,0.0426517357222808,0.0130629779772892,0.127100336482325,65
HND,-0.0762269570475943,0.0699069434992245,0.59623802802098,0.0173042793689019,0.15115267976439,66
HRV,-0.0944368545153427,0.200197607290523,0.89293395919084,0.313051145044393,0.820752242917942,67
HTI,-0.00455860594183223,0.0279114293307633,0.0978772496407542,0.000730569335895068,0.0161409155128231,68
HUN,-0.233497463253365,0.484402453027227,2.25910026256752,0.32132013698504,0.827763713046688,69
IDN,-2.65043446458952,2.24953317056029,15.7109813921906,0.0357262488821325,0.240144802589233,70
IND,-15.0852406826313,13.8834132649292,128.521029131286,0.090358196226039,0.46149867479419,71
IRL,-0.348609411314822,0.523145616289819,2.06902564971769,0.451193865512391,0.899759266290523,72
IRN,-1.54915567287507,2.80483861988617,16.3908677624258,0.266567230390944,0.773130134668312,73
IRQ,-0.993227589282567,1.31226790398716,11.9521028307603,0.256750995113415,0.761536484917543,74
ISL,-0.0541012071365892,0.0451684461864384,0.356543260212976,0.541758903481022,0.932572740183882,75
ISR,-1.23864489646412,2.07637358283498,14.7301605169214,0.611873794391826,0.947533593679639,76
ITA,-2.57800257887819,5.29658381407974,25.0945533151138,0.416020347166656,0.88461101529637,77
JAM,-0.0254976578803931,0.0268824834874353,0.134230654556482,0.0370891632825115,0.246149854254472,78
JOR,-0.0952874288694801,0.151811957757893,0.986441571563256,0.10649274702606,0.503875240082381,79
JPN,-5.04877401432592,9.49527183130287,45.6200547505855,0.398013879174768,0.876154455213519,80
KAZ,-0.58300946844125,1.00875345193097,5.65997439973452,0.351953401650028,0.850511547560811,81
KEN,-0.0781736235285329,0.253041338646613,1.04760964089293,0.00818840416102996,0.0921207485267078,82
KGZ,-0.018532958721622,0.0280146571607004,0.135552668522017,0.00553965932132753,0.0707070466617126,83
KHM,-0.0971769308752146,0.0743898986962621,0.647474885239664,0.00544750570501989,0.0699348420088324,84
KOR,-2.19071568921512,4.52569991728885,18.7734488003851,0.434073933514982,0.89259227078555,85
KWT,-1.22472577299062,1.83136528853326,21.9566605944876,0.992415668976431,0.999661176858935,86
LAO,-0.0521472579208567,0.046655801579083,0.360761742743549,0.013046140918764,0.12699797539287,87
LBN,-0.0814077277155278,0.144643409404721,0.728781672787873,0.252434317874668,0.75614440954381,88
LBR,0.00025752027622117,0.0151288798116357,0.0492051927930342,0.000780335462866695,0.0169016144618498,89
LBY,-0.402958582047028,0.525868316367625,3.66952571253677,0.365061008231207,0.858731248843644,90
LKA,-0.298169014673272,0.248638159450458,1.94671234193088,0.0918603245565687,0.467182889246227,91
LSO,-4.45783730321707e-05,0.0109528752296173,0.0381707219316664,0.00519255591243092,0.0677830108892891,92
LTU,-0.0957307150953744,0.151987061269876,0.720303688545978,0.318796326090016,0.825712523773495,93
LUX,-0.124542220894535,0.274186773198937,1.13447148099483,0.986391431979685,0.999187194759959,94
LVA,-0.0533642641912744,0.0795558677800688,0.404057624005793,0.279136775000406,0.787645968698931,95
MAR,-0.217566070206392,0.33607612845414,1.83522248115663,0.0445560672981181,0.277377921506501,96
MDA,-0.00784242118347998,0.0135866930087787,0.0535972213914657,0.00483704254740711,0.0645454116244903,97
MDG,0.0182185701899457,0.0889651847034354,0.216009925781223,0.00181538804236303,0.0300871510779588,98
MEX,-3.21229970568898,4.86049650934391,29.418831938226,0.295125274442587,0.804333603519,99
MKD,-0.0304883259073316,0.0628702985401692,0.290876427591794,0.2263566095953,0.720945287468688,100
MLI,-0.0081386851774214,0.149053235441849,0.765386180034165,0.0170743219715468,0.149972485497854,101
MMR,-0.184455665126643,0.157645996542748,1.17888616481124,0.00152273896767079,0.026533740079802,102
MNE,-0.0100052566080827,0.0188428525088378,0.0848703215945312,0.226149799091228,0.720663992846891,103
MNG,-0.0691932044313065,0.0421729579086907,0.490789238875635,0.0929658601978635,0.470934409949815,104
MOZ,-0.00526968273500579,0.113257863010593,0.391551174781943,0.0045907579359774,0.0621449515021358,105
MRT,-0.042425948417209,0.0366371832716561,0.414996564667816,0.0283264575699636,0.205534455152684,106
MUS,-0.0371776877186816,0.0342695570769579,0.220490206204532,0.220420189988958,0.711980757173178,107
MWI,0.0154802057666151,0.117821200600554,0.374845389742899,0.0116149235368608,0.117782832352505,108
MYS,-1.61586420823757,1.52924089813555,12.6347903563365,0.318081550312619,0.825109201693269,109
NAM,-0.052377891778362,0.0682282440683364,0.578835986321274,0.220644625340394,0.71233002802234,110
NCL,-0.0134863038968228,0.0159235547918256,0.0906827544948703,0.348401873186728,0.848020232052854,111
NER,-0.00217627525211777,0.177126978551655,1.39131860457326,0.0251754214075525,0.190461454106723,112
NGA,-2.13438376641932,1.93385927322052,21.6056541770638,0.0434505520525069,0.272801957609549,113
NIC,-0.0337375168630267,0.027856683422584,0.235632718083764,0.00494191168671592,0.0655096425072013,114
NLD,-1.12173632921526,2.08164617703823,8.43271257562425,0.541610322842137,0.932523940129607,115
NOR,-1.06981076619155,1.54415326251947,8.2606991639953,0.64895409467021,0.953245448270818,116
NPL,0.022317019533323,0.192324856985797,0.640025814629536,0.0107483882603544,0.111755298277437,117
NZL,-0.181602619015748,0.332559399013817,1.39053685865646,0.363331175637615,0.857744535551104,118
OMN,-0.412622502683799,0.490571499586188,5.14253343580395,0.54585317468479,0.933787980559857,119
PAK,-1.52165799393894,1.6763895847521,15.2324307531087,0.024592765995225,0.187576299678356,120
PAN,-0.207304740973209,0.196966687138311,1.61744462470627,0.319726705463152,0.82647705795714,121
PER,-0.422909186793909,0.710063230991079,3.91646790901831,0.213646187878082,0.70059791307692,122
PHL,-1.05477630677445,0.921276367252669,6.84953359968871,0.0282059403382002,0.204969882167045,123
PNG,-0.0419099214378204,0.0410816860187919,0.21868891932997,0.00735603008278047,0.0854212548967019,124
POL,-1.22786711690181,2.36484407782885,10.3881571116622,0.359732505728495,0.855591249687395,125
PRT,-0.335426978306582,0.577768082649385,2.84491633619585,0.323220692751183,0.829206554759811,126
PRY,-0.0856343908296349,0.0917951428708564,0.78239332963178,0.0928271331536815,0.470518882116394,127
QAT,-1.72755979970584,2.30563315832584,29.5317371479117,1,1,128
ROU,-0.252721078453841,0.474299076325859,2.08833985874068,0.21520638455813,0.703344205562228,129
RUS,-5.63656857552543,7.63914376723768,47.894083887135,0.348349492993384,0.847981879706676,130
RWA,-0.0033382482831942,0.0773163195054559,0.299676494390902,0.0110027186418098,0.113573596234699,131
SAU,-5.2328006408289,7.59167207270201,80.5857783912823,0.605043607844609,0.946312005329125,132
SDN,-0.451364732026721,0.385481482763934,4.52589278139208,0.0143540950049704,0.134532095425398,133
SEN,-0.0578403847037694,0.0571384320332016,0.444863334852295,0.00413487763772747,0.057441631365977,134
SLB,-0.00403036019255627,0.00311472151014867,0.0212471146476543,0.00520280172230483,0.0678708245370905,135
SLE,-0.00143789561011467,0.0304222992582362,0.114094941732326,0.00478973789524593,0.0640978794194301,136
SLV,-0.0691662166983281,0.0713565548176208,0.499862890293419,0.0920950504193904,0.468027037610559,137
SOM,-0.000142883535682208,0.00125516259769137,0.00444820364444211,4.12883055351551e-06,0.00148582279073624,138
SRB,-0.0895519823455398,0.18162122182707,0.797620946897543,0.105993364833878,0.502818170072025,139
STP,-0.00130779634903539,0.00111929159983133,0.00821095845321166,0.0116186054226692,0.117807298504378,140
SUR,-0.0130601055177316,0.0117998304576372,0.106344915889835,0.111358020979094,0.513584731640038,141
SVK,-0.218671415948836,0.42268853413768,2.00061562614375,0.366779385314668,0.859648002166775,142
SVN,-0.105499437012189,0.218426460310691,1.00110184827927,0.474578772372395,0.908792301811276,143
SWE,-1.28795720816405,2.00148845217097,10.679370481206,0.580070964727538,0.941716865259083,144
SWZ,-0.00928554774274765,0.0117556930591492,0.0703219862286135,0.0357649189833367,0.240320033136427,145
SYR,-0.248157549063436,0.380668287469812,2.49649797564441,0.0981644384878987,0.485242876812132,146
TCD,-0.0163019823559962,0.114698462242541,0.607290087345953,0.0185067327668635,0.157303338095637,147
TGO,0.000104784506775845,0.0321055073703347,0.117853715729906,0.005156526663328,0.067469711895853,148
THA,-1.66507156291553,1.46724122347249,12.7205297655062,0.11131920568886,0.513509084943438,149
TJK,-0.0180234046453751,0.0331373472482776,0.156870442567867,0.00505091628264061,0.0665073325057162,150
TKM,-0.119254299858678,0.224482082522617,1.36806247393732,0.295863703457872,0.805073539301302,151
TTO,-0.068533977212231,0.0653044477653618,0.456730365602825,0.318296367898572,0.825290647965534,152
