ISO3,country,L,M,H,lon,lat,cumscc,cumpop,id
AFG,Afghanistan,-0.0727406359460743,0.0524007594621052,0.2085135239795,66.00473366,33.83523073,-0.114077000214213,0.108546132648598,1
AGO,Angola,1.99937958585363,3.50874591356919,6.18166176414504,17.53736768,-12.29336054,0.537674186501957,0.926983348601535,2
ALB,Albania,-0.00140307600381368,0.0328231801301209,0.0791076948266952,20.04983396,41.14244989,-0.108721647956603,0.154682021359083,3
ARE,United Arab Emirates,13.8117192027062,24.6043554548028,47.9547847415752,54.3001671,23.90528188,0.936041519038574,0.999187194759959,4
ARG,Argentina,1.13426661388871,2.49277603515308,4.70774993053709,-65.17980692,-35.3813488,0.113917558067956,0.611593887799815,5
ARM,Armenia,-0.0462038326579013,-0.0295395336516074,-0.0129315270898536,44.92993276,40.28952569,-0.114008176073072,0.096930793984818,6
AUS,Australia,2.10382266801015,5.14142388337368,9.29287487979363,134.49100008,-25.73288704,0.686838565088135,0.980253434948536,7
AUT,Austria,-1.32659914339558,-0.879662887128697,-0.434876204726055,14.1264761,47.58549439,-0.0377718603257575,0.0101504112892379,8
AZE,Azerbaijan,-0.0637762460975712,0.0898844700974806,0.289148033719148,47.54599879,40.28827235,-0.109766965909059,0.148825221349243,9
BDI,Burundi,0.0252559264924594,0.0418303504539787,0.0643798684390812,29.87512156,-3.35939666,-0.113116208802633,0.123058924941417,10
BEL,Belgium,-0.952736774697738,-0.45348711218652,0.0872669183057825,4.64065114,50.63981576,-0.101341556953833,0.06103722994493,11
BEN,Benin,0.137761224657883,0.226228028465703,0.386289719236651,2.32785254,9.6417597,-0.0274561493080823,0.419786795340111,12
BFA,Burkina Faso,0.480676450770161,0.850173060316739,1.75147220276996,-1.75456601,12.26953846,0.00829035681326215,0.483590816438133,13
BGD,Bangladesh,1.19029981129672,1.93176153547006,3.1039902702153,90.23812743,23.86731158,-0.101710983282932,0.187618619508622,14
BGR,Bulgaria,-0.184859889983423,-0.0843517582157169,0.0262445711644105,25.21552909,42.76890318,-0.11367966049258,0.0952419682582758,15
BHS,Bahamas,0.107217279116656,0.175093165306381,0.281907208430935,-76.62843038,24.29036702,0.734775874747698,0.991281850466318,16
BIH,Bosnia & Herzegovina,-0.0631866341770745,-0.0346643772735694,-0.00606437550760999,17.76876733,44.17450125,-0.114093668877823,0.0974224975127181,17
BLR,Belarus,-0.559205651236214,-0.392830380610713,-0.237135679909377,28.03209307,53.53131377,-0.1002231210208,0.0595467784227584,18
