ISO3,L,M,H,cumscc,cumpop,id
AFG,0.0128717758249195,0.348557276184254,0.439817624865529,0.0140445303080352,0.0868908771274146,1
AFG,0.132055953303896,0.657155368984779,0.981720617767582,0.0788718244144795,0.267720999113003,2
AGO,-2.1276223777086,0.457304646412976,0.736128866035598,0.092927707178456,0.300091238909064,3
AGO,-10.1230412639375,1.36899247728268,1.89874301237872,0.453270991234271,0.733504821220538,4
ALB,-0.0506830768161144,0.0410823162677277,0.0798458651808361,0.0317538848398592,0.149317586124491,5
ALB,-0.154960182381876,0.0982385621292263,0.159810609925447,0.223345751634145,0.512615739776422,6
ARE,-7.76637840896228,1.20332309919387,2.3587072330225,0.839266719637809,0.961720324905207,7
ARE,-31.2478194016928,2.73326639152331,4.14031608110324,0.996090289559757,0.999593597379979,8
ARG,-1.3307347734445,1.03804613309289,2.33711848661397,0.13441984200834,0.376384635415324,9
ARG,-4.27875081868654,2.6365970224436,4.94623393365044,0.628685809514046,0.856631920763524,10
ARM,-0.0439938798076348,0.0333636605648918,0.0621761590797561,0.0207561245903796,0.113898797680397,11
ARM,-0.137604809436708,0.0782936713278997,0.121800701137844,0.2033110531318,0.484499304169416,12
AUS,-2.07336235428295,1.59406945343328,3.32417311520888,0.633326275603922,0.859578042197367,13
AUS,-6.70132994646533,4.41976034960348,7.49179742920086,0.974794382267333,0.995686815799104,14
AUT,-0.57795753872922,0.416723138813053,0.824592553648859,0.426640620720116,0.712644781759942,15
AUT,-1.5596815409428,0.970948698703582,1.63901617696483,0.840920203592717,0.962295345598943,16
AZE,-0.171795558156984,0.132895559488817,0.24937323061672,0.0330207887063651,0.153133975192909,17
AZE,-0.570013539218662,0.324513249157663,0.502656359414138,0.232361867808177,0.523762981442622,18
BDI,0.0209527103642446,0.0428054601001816,0.0520871091862426,0.000420899153750934,0.00765135918731114,19
BDI,0.0550113010823711,0.0902669987054116,0.110036649750713,0.0115370597876976,0.0754978498219988,20
BEL,-0.493996242488481,0.47998618598119,0.961527997088225,0.393739994580347,0.683898574178794,21
BEL,-1.41739936416789,1.16909093017746,2.0320559353798,0.821736008451454,0.955285793087505,22
BEN,0.0192243068458739,0.0841741654459632,0.108278563470829,0.00633033312615899,0.0503410912194684,23
BEN,0.0732732411015971,0.179465090001477,0.225163734331335,0.0402242884631022,0.172442133252714,24
