ISO3,L,M,H,cumscc,cumpop,id
AFG,-22.0327078077708,-5.26650642249214,3.07288986813411,-0.281994056211703,0.0522665773718248,1
AGO,2.98254168575023,3.76357746791621,4.51230592175129,0.664024536002135,0.885123217492055,2
ALB,-0.307250400386589,-0.0475515719883913,0.140786852387383,-0.366793804084845,0.119546643528299,3
ARE,2.37525938458775,4.35907627870031,5.54037819803777,0.993351187412147,0.999187194759959,4
ARG,-0.640160497862612,2.91644782272685,5.92064405564071,-0.245051680605633,0.383782273995245,5
ARM,-0.990702396095535,-0.465050595652541,-0.106426605141308,-0.263607995155673,0.0435258131788448,6
AUS,-2.28691940569332,3.47176690287662,7.43609583208362,0.607900926232074,0.86005929801717,7
AUT,-4.65520831448849,-1.9295192082829,-0.438698447088515,-0.234233395671353,0.0340660086197559,8
AZE,-1.52117785906065,-0.395591596161631,0.444762053139318,-0.363780057018846,0.107184756608737,9
BDI,0.822304673268572,1.09209994943496,1.3450623294093,-0.0578477509170116,0.52393232688842,10
BEL,-3.27558498996041,-1.06664190250882,0.307740782639593,-0.341366562439703,0.0835450316717642,11
BEN,1.34436902575255,1.68180791301249,2.05109340111403,0.653872934579538,0.880798659836775,12
BFA,1.76832050510413,2.49156488076067,3.10251869948253,0.0348717524619107,0.578024475938333,13
BGD,11.0550243333499,14.8922231566976,18.496652206757,-0.131326792767273,0.475303667925814,14
BGR,-1.45352532620659,-0.565915486744713,0.0282441868817925,-0.343175355934392,0.0849025724770075,15
BHS,0.022844448196443,0.0581088557542525,0.0808513415341471,0.666482757300896,0.886166533557576,16
BIH,-0.819451090581325,-0.389762587160116,-0.0740736578407029,-0.339144584763833,0.0820545801495927,17
BLR,-4.34113197699291,-1.9588833473878,-0.761128380567587,-0.240932985460139,0.0360598016231506,18
BLZ,0.0338526764878513,0.0406086545899454,0.0494237809280229,-0.00077151933846058,0.558281878370956,19
BOL,0.311296791627051,1.14004575184612,1.68008962311893,-0.0522093376338212,0.527496053345204,20
BRA,18.3040473359477,26.0358492249949,33.1464993860796,0.131441146890021,0.628788699335724,21
BRN,0.0644331245207535,0.138418523410192,0.188568082907961,0.978466792408255,0.996505175516867,22
