ISO3,L,M,H,cumscc,cumpop,id
AFG,0.258241979522031,1.34505031667017,3.99923641266165,0.0218877037641406,0.126278141529944,1
AGO,1.12705883636497,6.13890791172663,14.8447988598768,0.682625407128496,0.909116313011748,2
ALB,0.0583061012729145,0.254097325620778,0.603163105531242,0.0640117983307442,0.232913930590453,3
ARE,1.20335271040024,13.7577233938419,41.4786659101307,0.984568135207373,0.999187194759959,4
ARG,1.94452723284501,7.97618160595819,18.1629108008007,0.580491352098942,0.846655020778375,5
ARM,0.00668668079255547,0.127630904189397,0.37897397143646,0.0267160493018236,0.143020659879888,6
AUS,2.02945280246008,8.05872005466409,16.235768280507,0.747330765125676,0.93965298003681,7
AUT,0.0447277597123006,1.63422425126967,4.41925322774994,0.582219081679494,0.847805062165847,8
AZE,0.260903889950317,1.1716203159747,2.76480368626865,0.422137788301131,0.717722367895013,9
BDI,0.0160721904924594,0.0722563753729837,0.174153010365131,0.000611040971242121,0.0159986150835546,10
BEL,0.257011354856916,1.8348909101389,4.52708555388175,0.549571124646148,0.82454793494437,11
BEN,0.0399913247750706,0.286555094351898,0.7938015215606,0.00943575189263455,0.0743897976411191,12
BFA,0.0830635927986338,1.15525535082627,3.63555744740688,0.0497232787915167,0.203482472382674,13
BGD,0.75883987946067,3.40970397703966,8.17654431033556,0.00791404834000236,0.0665807309613333,14
BGR,0.0998510888372256,0.700250095267998,1.88217772086642,0.394069775873104,0.685505471358931,15
BHS,0.0217190717845502,0.152110765704589,0.360028672907962,0.763453894207192,0.945813821577215,16
BIH,0.01798696357867,0.16501240757119,0.454770343096475,0.029019882975192,0.149570976108208,17
BLR,-0.0274810790305681,1.04390447434238,3.28685422104147,0.417608154666383,0.712769493009756,18
BLZ,0.00501076517452193,0.0471026031899497,0.119454375939098,0.424865411485705,0.720419860326045,19
BOL,0.257768761852187,1.17059342676706,2.94141616865172,0.397758300392409,0.690061730084916,20
BRA,8.34040763970483,40.092343047174,93.1003688334903,0.624605386363452,0.875675712133638,21
BRN,0.0441144015348028,0.402810348872074,0.993180767750867,0.926221439792795,0.992684223841749,22
